(varsym, var)
(ident, x)
(comma, ,)
(ident, y)
(comma, ,)
(ident, z)
(semicolon, ;)
(beginsym, begin)
(ident, x)
(becomes, :=)
(number, 10)
(semicolon, ;)
(ident, y)
(becomes, :=)
(minus, -)
(number, 5)
(semicolon, ;)
(readsym, read)
(lparen, ()
(ident, z)
(rparen, ))
(semicolon, ;)
(ifsym, if)
(ident, z)
(gtr, >)
(number, 3)
(thensym, then)
(writesym, write)
(lparen, ()
(ident, x)
(rparen, ))
(ident, else)
(writesym, write)
(lparen, ()
(ident, y)
(rparen, ))
(semicolon, ;)
(endsym, end)
(period, .)
